time	V(vout1)	V(u1:n_state)	V(u1:r_hs)	V(u1:tsub)	V(u1:ttherm)	I(u1:B_ir)	I(u1:B_isw)	I(u1:B_ph)	abs(I(u1:L_kinetic))
2.224870341488770e-009	3.489696e-004	1.000000e+000	1.333955e+003	6.033804e+000	3.033804e+000	1.929236e-006	4.933521e-006	0.000000e+000	4.410304e-006
2.234655195396811e-009	3.678897e-004	1.000000e+000	1.375348e+003	6.101427e+000	3.101428e+000	1.914617e-006	4.851738e-006	0.000000e+000	4.221103e-006
2.244440049304852e-009	3.867309e-004	1.000000e+000	1.414730e+003	6.162920e+000	3.162920e+000	1.901186e-006	4.776755e-006	0.000000e+000	4.032691e-006
2.254224903212892e-009	4.054931e-004	1.000000e+000	1.452101e+003	6.218282e+000	3.218282e+000	1.888941e-006	4.708572e-006	0.000000e+000	3.845068e-006
2.254293211212900e-009	4.056228e-004	1.000000e+000	1.452353e+003	6.218653e+000	3.218653e+000	1.888859e-006	4.708116e-006	0.000000e+000	3.843772e-006
2.266349872460370e-009	4.286019e-004	1.000000e+000	1.495250e+003	6.279034e+000	3.279034e+000	1.875443e-006	4.633690e-006	0.000000e+000	3.613981e-006
2.278406533707839e-009	4.508674e-004	1.000000e+000	1.534304e+003	6.333297e+000	3.333297e+000	1.863354e-006	4.566706e-006	0.000000e+000	3.391326e-006
2.290463194955309e-009	4.724193e-004	1.000000e+000	1.569513e+003	6.381444e+000	3.381444e+000	1.852591e-006	4.507165e-006	0.000000e+000	3.175807e-006
2.302519856202779e-009	4.932576e-004	1.000000e+000	1.600879e+003	6.423474e+000	3.423474e+000	1.843154e-006	4.455067e-006	0.000000e+000	2.967424e-006
2.314576517450248e-009	5.133824e-004	1.000000e+000	1.628401e+003	6.459387e+000	3.459387e+000	1.835044e-006	4.410411e-006	0.000000e+000	2.766176e-006
2.326633178697718e-009	5.327936e-004	1.000000e+000	1.652078e+003	6.489184e+000	3.489183e+000	1.828261e-006	4.373198e-006	0.000000e+000	2.572064e-006
2.338689839945187e-009	5.514913e-004	1.000000e+000	1.671912e+003	6.512863e+000	3.512863e+000	1.822804e-006	4.343427e-006	0.000000e+000	2.385087e-006
2.338789839945187e-009	5.516395e-004	1.000000e+000	1.672056e+003	6.513053e+000	3.513053e+000	1.822760e-006	4.343188e-006	0.000000e+000	2.383605e-006
2.345070659621314e-009	5.608115e-004	1.000000e+000	1.680659e+003	6.524290e+000	3.524290e+000	1.820188e-006	4.329122e-006	0.000000e+000	2.291885e-006
2.351351479297440e-009	5.696685e-004	1.000000e+000	1.687978e+003	6.534640e+000	3.534640e+000	1.817817e-006	4.316160e-006	0.000000e+000	2.203315e-006
